#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 09 01 13 56 180  2.6   MM    MM    MM    MM  MM 1005.0  19.4    MM  17.8   MM   MM    MM
2013 09 01 12 56 210  4.6  9.3    MM    MM    MM  MM 1006.4  19.4    MM  17.2   MM   MM    MM
2013 09 01 11 56 190  3.6  7.2    MM    MM    MM  MM 1006.4  20.0    MM  16.7   MM   MM    MM
2013 09 01 10 56 200  4.6  7.2    MM    MM    MM  MM 1006.5  20.0    MM  17.2   MM   MM    MM
2013 09 01 09 56 190  3.1   MM    MM    MM    MM  MM 1006.2  19.4    MM  17.2   MM   MM    MM
2013 09 01 08 56 180  5.7   MM    MM    MM    MM  MM 1006.1  19.4    MM  17.8   MM   MM    MM
2013 09 01 07 56 200  5.1   MM    MM    MM    MM  MM 1006.9  19.4    MM  17.2   MM   MM    MM
2013 09 01 06 56 200  3.6   MM    MM    MM    MM  MM 1007.7  18.9    MM  17.2   MM   MM    MM
2013 09 01 05 56 200  3.1   MM    MM    MM    MM  MM 1008.6  18.9    MM  16.7   MM   MM    MM
2013 09 01 04 56 190  4.1   MM    MM    MM    MM  MM 1008.7  19.4    MM  16.7   MM   MM    MM
2013 09 01 03 56 200  4.1   MM    MM    MM    MM  MM 1008.9  19.4    MM  16.7   MM   MM    MM
2013 09 01 02 56 180  2.6   MM    MM    MM    MM  MM 1009.5  19.4    MM  17.2   MM   MM    MM
2013 09 01 01 56 200  2.6   MM    MM    MM    MM  MM 1009.9  20.0    MM  16.1   MM   MM    MM
2013 09 01 00 56 200  2.6   MM    MM    MM    MM  MM 1009.0  21.1    MM  17.2   MM   MM    MM
2013 08 31 22 56 170  3.1   MM    MM    MM    MM  MM 1009.0  25.0    MM  17.2   MM   MM    MM
2013 08 31 21 56 190  3.6   MM    MM    MM    MM  MM 1009.5  26.1    MM  17.2   MM   MM    MM
2013 08 31 20 56 160  2.6   MM    MM    MM    MM  MM 1009.4  26.7    MM  16.7   MM   MM    MM
2013 08 31 19 56 170  2.1   MM    MM    MM    MM  MM 1009.9  26.1    MM  16.1   MM   MM    MM
2013 08 31 18 56 360  2.1   MM    MM    MM    MM  MM 1010.6  22.8    MM  18.3   MM   MM    MM
2013 08 31 17 56  MM    0   MM    MM    MM    MM  MM 1011.0  21.7    MM  17.2   MM   MM    MM
2013 08 31 16 56  40  1.5   MM    MM    MM    MM  MM 1011.3  21.7    MM  17.8   MM   MM    MM
2013 08 31 15 56  30  3.1   MM    MM    MM    MM  MM 1011.7  19.4    MM  16.7   MM   MM    MM
2013 08 31 14 56 350  4.1   MM    MM    MM    MM  MM 1012.5  18.9    MM  16.7   MM   MM    MM
2013 08 31 13 56  MM    0   MM    MM    MM    MM  MM 1012.1  18.3    MM  15.6   MM   MM    MM
2013 08 31 12 56 230  1.5   MM    MM    MM    MM  MM 1012.1  17.8    MM  15.6   MM   MM    MM
2013 08 31 11 56  MM    0   MM    MM    MM    MM  MM 1012.8  17.8    MM  15.6   MM   MM    MM
2013 08 31 10 56  MM    0   MM    MM    MM    MM  MM 1012.7  16.7    MM  15.0   MM   MM    MM
2013 08 31 09 56  MM    0   MM    MM    MM    MM  MM 1012.2  16.7    MM  15.0   MM   MM    MM
2013 08 31 08 56  MM    0   MM    MM    MM    MM  MM 1012.0  15.6    MM  14.4   MM   MM    MM
2013 08 31 07 56 180  1.5   MM    MM    MM    MM  MM 1012.3  15.6    MM  14.4   MM   MM    MM
2013 08 31 06 56 190  1.5   MM    MM    MM    MM  MM 1012.4  15.6    MM  13.9   MM   MM    MM
2013 08 31 05 56  MM    0   MM    MM    MM    MM  MM 1012.3  16.7    MM  15.0   MM   MM    MM
2013 08 31 04 56  30  3.1   MM    MM    MM    MM  MM 1012.6  18.9    MM  16.1   MM   MM    MM
2013 08 31 03 56  30  2.6   MM    MM    MM    MM  MM 1012.7  18.9    MM  16.1   MM   MM    MM
2013 08 31 02 56 360  2.6   MM    MM    MM    MM  MM 1012.9  18.9    MM  16.7   MM   MM    MM
2013 08 31 01 56  10  4.1   MM    MM    MM    MM  MM 1013.1  18.9    MM  16.7   MM   MM    MM
2013 08 31 00 56  30  4.1   MM    MM    MM    MM  MM 1012.5  18.9    MM  16.7   MM   MM    MM
2013 08 30 23 56  30  3.1   MM    MM    MM    MM  MM 1012.1  20.0    MM  16.7   MM   MM    MM
2013 08 30 22 56  20  4.1   MM    MM    MM    MM  MM 1011.6  21.1    MM  16.7   MM   MM    MM
2013 08 30 21 56 360  5.7   MM    MM    MM    MM  MM 1011.2  21.7    MM  16.7   MM   MM    MM
2013 08 30 20 56 350  7.2   MM    MM    MM    MM  MM 1011.0  21.7    MM  17.2   MM   MM    MM
2013 08 30 19 56 320  6.2   MM    MM    MM    MM  MM 1010.8  20.0    MM  17.2   MM   MM    MM
2013 08 30 18 56 360  7.2   MM    MM    MM    MM  MM 1010.4  20.0    MM  17.2   MM   MM    MM
2013 08 30 17 56 360  7.2   MM    MM    MM    MM  MM 1009.7  20.0    MM  17.8   MM   MM    MM
2013 08 30 16 56 320  7.7   MM    MM    MM    MM  MM 1009.1  19.4    MM  17.8   MM   MM    MM
2013 08 30 15 56 310  6.2   MM    MM    MM    MM  MM 1008.3  19.4    MM  17.8   MM   MM    MM
2013 08 30 14 56 300  5.1  7.2    MM    MM    MM  MM 1007.9  19.4    MM  17.8   MM   MM    MM
2013 08 30 13 56 320  3.6  8.2    MM    MM    MM  MM 1007.5  21.1    MM  18.9   MM   MM    MM
2013 08 30 12 56  MM    0   MM    MM    MM    MM  MM 1007.7  20.6    MM  18.9   MM   MM    MM
2013 08 30 11 56  MM  1.5   MM    MM    MM    MM  MM 1007.5  21.1    MM  18.9   MM   MM    MM
2013 08 30 10 56 180  2.6   MM    MM    MM    MM  MM 1006.5  20.6    MM  18.3   MM   MM    MM
2013 08 30 09 56 210  4.6  8.2    MM    MM    MM  MM 1007.1  21.7    MM  17.2   MM   MM    MM
2013 08 30 08 56 200  3.6   MM    MM    MM    MM  MM 1008.1  22.8    MM  16.7   MM   MM    MM
2013 08 30 07 56 200  4.1  9.3    MM    MM    MM  MM 1008.4  22.2    MM  17.8   MM   MM    MM
2013 08 30 06 56 190  4.6   MM    MM    MM    MM  MM 1009.3  22.2    MM  18.9   MM   MM    MM
2013 08 30 05 56 200  5.1   MM    MM    MM    MM  MM 1009.6  23.3    MM  19.4   MM   MM    MM
2013 08 30 04 56 190  3.6  7.7    MM    MM    MM  MM 1010.3  23.9    MM  18.9   MM   MM    MM
2013 08 30 03 56 180  3.1   MM    MM    MM    MM  MM 1011.1  24.4    MM  18.9   MM   MM    MM
2013 08 30 02 56 200  3.6  7.2    MM    MM    MM  MM 1011.7  23.9    MM  18.9   MM   MM    MM
2013 08 30 01 56 200  3.6   MM    MM    MM    MM  MM 1012.6  23.9    MM  18.9   MM   MM    MM
2013 08 30 00 56 190  2.6   MM    MM    MM    MM  MM 1013.5  24.4    MM  20.0   MM   MM    MM
2013 08 29 23 56 180  3.1   MM    MM    MM    MM  MM 1014.1  25.6    MM  20.0   MM   MM    MM
2013 08 29 22 56 180  2.6   MM    MM    MM    MM  MM 1015.3  26.7    MM  19.4   MM   MM    MM
2013 08 29 21 56 180  2.6   MM    MM    MM    MM  MM 1015.3  27.8    MM  18.9   MM   MM    MM
2013 08 29 20 56 170  2.1   MM    MM    MM    MM  MM 1014.7  28.9    MM  17.2   MM   MM    MM
2013 08 29 19 56 200  3.6   MM    MM    MM    MM  MM 1015.0  30.0    MM  17.2   MM   MM    MM
2013 08 29 18 56  MM  2.1   MM    MM    MM    MM  MM 1015.5  31.1    MM  16.7   MM   MM    MM
2013 08 29 17 56  MM  2.1   MM    MM    MM    MM  MM 1016.1  30.6    MM  17.2   MM   MM    MM
2013 08 29 16 56 210  3.1   MM    MM    MM    MM  MM 1016.7  29.4    MM  17.8   MM   MM    MM
2013 08 29 15 56 240  3.1   MM    MM    MM    MM  MM 1017.2  28.9    MM  18.3   MM   MM    MM
2013 08 29 14 56  MM  2.1   MM    MM    MM    MM  MM 1017.2  27.8    MM  19.4   MM   MM    MM
2013 08 29 13 56 210  1.5   MM    MM    MM    MM  MM 1017.5  24.4    MM  18.9   MM   MM    MM
2013 08 29 12 56 210  3.1   MM    MM    MM    MM  MM 1017.7  22.2    MM  18.3   MM   MM    MM
2013 08 29 11 56 210  4.1   MM    MM    MM    MM  MM 1017.6  20.6    MM  16.7   MM   MM    MM
2013 08 29 10 56 200  3.6   MM    MM    MM    MM  MM 1017.3  20.0    MM  16.1   MM   MM    MM
2013 08 29 09 56 190  2.1   MM    MM    MM    MM  MM 1017.2  18.9    MM  16.1   MM   MM    MM
2013 08 29 08 56 230  2.1   MM    MM    MM    MM  MM 1017.1  18.3    MM  16.1   MM   MM    MM
2013 08 29 07 56 190  3.1   MM    MM    MM    MM  MM 1017.2  17.2    MM  15.6   MM   MM    MM
2013 08 29 06 56 180  3.6   MM    MM    MM    MM  MM 1017.4  17.2    MM  15.6   MM   MM    MM
2013 08 29 05 56 190  2.6   MM    MM    MM    MM  MM 1017.5  17.2    MM  15.6   MM   MM    MM
2013 08 29 04 56 180  2.6   MM    MM    MM    MM  MM 1017.0  17.2    MM  15.6   MM   MM    MM
2013 08 29 03 56 200  1.5   MM    MM    MM    MM  MM 1017.1  18.3    MM  16.7   MM   MM    MM
2013 08 29 02 56 190  1.5   MM    MM    MM    MM  MM 1017.6  18.9    MM  16.7   MM   MM    MM
2013 08 29 01 56 190  1.5   MM    MM    MM    MM  MM 1017.6  19.4    MM  17.2   MM   MM    MM
2013 08 29 00 56  MM    0   MM    MM    MM    MM  MM 1017.3  20.6    MM  17.8   MM   MM    MM
2013 08 28 23 56  MM    0   MM    MM    MM    MM  MM 1016.9  22.8    MM  18.9   MM   MM    MM
2013 08 28 22 56  MM    0   MM    MM    MM    MM  MM 1016.8  23.9    MM  17.8   MM   MM    MM
2013 08 28 21 56  MM    0   MM    MM    MM    MM  MM 1016.6  23.9    MM  18.3   MM   MM    MM
2013 08 28 20 56  40  2.6   MM    MM    MM    MM  MM 1016.8  23.3    MM  18.3   MM   MM    MM
2013 08 28 19 56  40  3.6   MM    MM    MM    MM  MM 1016.9  22.8    MM  18.9   MM   MM    MM
2013 08 28 18 56  40  5.1   MM    MM    MM    MM  MM 1017.1  22.2    MM  18.3   MM   MM    MM
2013 08 28 17 56  40  6.2   MM    MM    MM    MM  MM 1017.3  21.7    MM  18.3   MM   MM    MM
2013 08 28 16 56 360  3.1   MM    MM    MM    MM  MM 1016.6  22.8    MM  18.3   MM   MM    MM
2013 08 28 15 56  20  2.6   MM    MM    MM    MM  MM 1016.4  21.7    MM  18.3   MM   MM    MM
2013 08 28 14 56  30  1.5   MM    MM    MM    MM  MM 1015.9  18.9    MM  17.8   MM   MM    MM
2013 08 28 13 56 360  2.6   MM    MM    MM    MM  MM 1015.8  18.3    MM  17.2   MM   MM    MM
2013 08 28 12 56 340  3.1   MM    MM    MM    MM  MM 1015.7  17.8    MM  16.7   MM   MM    MM
2013 08 28 11 56 330  2.1   MM    MM    MM    MM  MM 1015.2  17.8    MM  16.7   MM   MM    MM
2013 08 28 10 56 300  2.1   MM    MM    MM    MM  MM 1014.7  17.8    MM  16.7   MM   MM    MM
2013 08 28 09 56  10  3.1   MM    MM    MM    MM  MM 1014.6  18.3    MM  17.2   MM   MM    MM
2013 08 28 08 56 330  3.1   MM    MM    MM    MM  MM 1014.0  18.3    MM  17.2   MM   MM    MM
2013 08 28 07 56 340  3.1   MM    MM    MM    MM  MM 1013.3  18.9    MM  17.8   MM   MM    MM
2013 08 28 06 56 330  3.1   MM    MM    MM    MM  MM 1012.7  19.4    MM  18.3   MM   MM    MM
2013 08 28 05 56 310  1.5   MM    MM    MM    MM  MM 1012.6  19.4    MM  18.3   MM   MM    MM
2013 08 28 04 56 330  3.1   MM    MM    MM    MM  MM 1012.6  19.4    MM  18.3   MM   MM    MM
2013 08 28 03 56 330  4.6   MM    MM    MM    MM  MM 1012.5  20.0    MM  18.9   MM   MM    MM
2013 08 28 02 56  30  2.6   MM    MM    MM    MM  MM 1011.9  21.1    MM  20.0   MM   MM    MM
2013 08 28 01 56  30  1.5   MM    MM    MM    MM  MM 1012.1  21.1    MM  19.4   MM   MM    MM
2013 08 28 00 56 360  1.5   MM    MM    MM    MM  MM 1011.8  22.2    MM  20.0   MM   MM    MM
2013 08 27 23 56  MM    0   MM    MM    MM    MM  MM 1011.4  23.3    MM  20.6   MM   MM    MM
2013 08 27 22 56  20  3.6   MM    MM    MM    MM  MM 1011.0  23.3    MM  20.6   MM   MM    MM
2013 08 27 21 56  40  5.1   MM    MM    MM    MM  MM 1010.8  22.2    MM  20.0   MM   MM    MM
2013 08 27 20 56  MM    0   MM    MM    MM    MM  MM 1010.1  25.6    MM  21.1   MM   MM    MM
2013 08 27 19 56  50  2.1   MM    MM    MM    MM  MM 1009.9  25.6    MM  21.1   MM   MM    MM
2013 08 27 18 56  MM    0   MM    MM    MM    MM  MM 1010.1  26.1    MM  21.1   MM   MM    MM
2013 08 27 17 56 180  2.1   MM    MM    MM    MM  MM 1011.1  25.0    MM  21.1   MM   MM    MM
2013 08 27 16 56 210  2.1   MM    MM    MM    MM  MM 1011.6  24.4    MM  21.1   MM   MM    MM
2013 08 27 15 56 200  2.1   MM    MM    MM    MM  MM 1011.7  23.3    MM  21.1   MM   MM    MM
2013 08 27 14 56  MM    0   MM    MM    MM    MM  MM 1011.6  23.3    MM  21.1   MM   MM    MM
2013 08 27 13 56  70  1.5   MM    MM    MM    MM  MM 1011.4  21.7    MM  20.0   MM   MM    MM
2013 08 27 12 56 200  3.6   MM    MM    MM    MM  MM 1011.4  21.7    MM  20.0   MM   MM    MM
2013 08 27 11 56  MM    0   MM    MM    MM    MM  MM 1011.3  21.1    MM  19.4   MM   MM    MM
2013 08 27 10 56 220  2.1   MM    MM    MM    MM  MM 1011.2  21.1    MM  19.4   MM   MM    MM
2013 08 27 09 56  MM    0   MM    MM    MM    MM  MM 1011.4  21.7    MM  19.4   MM   MM    MM
2013 08 27 08 56 360  2.6   MM    MM    MM    MM  MM 1011.4  21.1    MM  19.4   MM   MM    MM
2013 08 27 07 56  MM    0   MM    MM    MM    MM  MM 1012.7  21.1    MM  18.9   MM   MM    MM
2013 08 27 06 56 360  1.5   MM    MM    MM    MM  MM 1012.8  20.6    MM  18.9   MM   MM    MM
2013 08 27 05 56  MM    0   MM    MM    MM    MM  MM 1013.3  20.0    MM  18.3   MM   MM    MM
2013 08 27 04 56  MM    0   MM    MM    MM    MM  MM 1012.7  20.6    MM  18.3   MM   MM    MM
2013 08 27 03 56  MM    0   MM    MM    MM    MM  MM 1013.4  20.6    MM  18.9   MM   MM    MM
2013 08 27 02 56 200  2.1   MM    MM    MM    MM  MM 1013.9  20.0    MM  18.9   MM   MM    MM
2013 08 27 01 56  MM    0   MM    MM    MM    MM  MM 1014.4  20.6    MM  19.4   MM   MM    MM
2013 08 27 00 56  MM    0   MM    MM    MM    MM  MM 1014.2  20.6    MM  19.4   MM   MM    MM
2013 08 26 23 56  50  2.1   MM    MM    MM    MM  MM 1014.1  20.6    MM  19.4   MM   MM    MM
2013 08 26 22 56  30  4.1   MM    MM    MM    MM  MM 1014.3  22.2    MM  19.4   MM   MM    MM
2013 08 26 21 56  30  3.1   MM    MM    MM    MM  MM 1014.4  23.9    MM  19.4   MM   MM    MM
2013 08 26 20 56  20  1.5   MM    MM    MM    MM  MM 1014.3  24.4    MM  19.4   MM   MM    MM
2013 08 26 19 56  40  4.1   MM    MM    MM    MM  MM 1014.5  24.4    MM  19.4   MM   MM    MM
2013 08 26 18 56  40  4.6   MM    MM    MM    MM  MM 1014.3  24.4    MM  19.4   MM   MM    MM
2013 08 26 17 56  40  5.7   MM    MM    MM    MM  MM 1014.4  23.9    MM  19.4   MM   MM    MM
2013 08 26 16 56  40  3.6   MM    MM    MM    MM  MM 1014.6  26.1    MM  21.1   MM   MM    MM
2013 08 26 15 56  90  2.1   MM    MM    MM    MM  MM 1014.7  26.7    MM  20.6   MM   MM    MM
2013 08 26 14 56 170  2.6   MM    MM    MM    MM  MM 1014.6  25.0    MM  20.6   MM   MM    MM
2013 08 26 13 56  MM    0   MM    MM    MM    MM  MM 1014.2  22.8    MM  19.4   MM   MM    MM
2013 08 26 12 56  MM    0   MM    MM    MM    MM  MM 1014.4  20.6    MM  18.9   MM   MM    MM
2013 08 26 11 56 350  2.1   MM    MM    MM    MM  MM 1014.6  21.1    MM  18.3   MM   MM    MM
2013 08 26 10 56 180  8.8 13.4    MM    MM    MM  MM 1010.2  20.6    MM  18.9   MM   MM    MM
2013 08 26 09 56 220  3.6   MM    MM    MM    MM  MM 1013.5  20.6    MM  19.4   MM   MM    MM
2013 08 26 08 56  30  1.5   MM    MM    MM    MM  MM 1013.8  20.6    MM  19.4   MM   MM    MM
2013 08 26 06 56  MM  1.5   MM    MM    MM    MM  MM 1011.5  27.2    MM  21.1   MM   MM    MM
2013 08 26 05 56 210  3.6   MM    MM    MM    MM  MM 1012.2  27.8    MM  21.1   MM   MM    MM
2013 08 26 04 56 200  3.6   MM    MM    MM    MM  MM 1011.8  27.8    MM  21.1   MM   MM    MM
2013 08 26 03 56 190  3.1   MM    MM    MM    MM  MM 1012.4  26.7    MM  21.1   MM   MM    MM
2013 08 26 02 56 180  2.6   MM    MM    MM    MM  MM 1013.2  23.3    MM  20.6   MM   MM    MM
2013 08 26 01 56  MM    0   MM    MM    MM    MM  MM 1013.2  21.7    MM  19.4   MM   MM    MM
2013 08 26 00 56  10  1.5   MM    MM    MM    MM  MM 1012.8  22.2    MM  20.0   MM   MM    MM
2013 08 25 23 56  MM    0   MM    MM    MM    MM  MM 1012.8  23.3    MM  20.0   MM   MM    MM
2013 08 25 22 56  40  6.7   MM    MM    MM    MM  MM 1012.4  25.6    MM  19.4   MM   MM    MM
2013 08 25 21 56 230  2.1   MM    MM    MM    MM  MM 1012.1  33.3    MM  21.1   MM   MM    MM
2013 08 25 20 56 220  3.6   MM    MM    MM    MM  MM 1012.1  33.9    MM  20.6   MM   MM    MM
2013 08 25 19 56 200  1.5   MM    MM    MM    MM  MM 1012.7  32.2    MM  21.7   MM   MM    MM
2013 08 25 18 56 200  3.6   MM    MM    MM    MM  MM 1013.1  31.7    MM  21.1   MM   MM    MM
2013 08 25 17 56 220  4.1   MM    MM    MM    MM  MM 1013.4  31.1    MM  20.6   MM   MM    MM
2013 08 25 16 56 210  3.6  8.8    MM    MM    MM  MM 1014.2  30.6    MM  20.0   MM   MM    MM
2013 08 25 15 56 220  4.1  7.2    MM    MM    MM  MM 1014.5  28.9    MM  20.0   MM   MM    MM
2013 08 25 14 56 210  4.6  9.8    MM    MM    MM  MM 1014.5  26.1    MM  18.9   MM   MM    MM
2013 08 25 13 56 210  5.1  9.8    MM    MM    MM  MM 1015.3  25.0    MM  18.3   MM   MM    MM
2013 08 25 12 56 210  5.7  9.8    MM    MM    MM  MM 1015.6  23.9    MM  17.8   MM   MM    MM
2013 08 25 11 56 190  4.6 10.3    MM    MM    MM  MM 1015.7  22.2    MM  17.2   MM   MM    MM
2013 08 25 10 56 190  7.2 11.3    MM    MM    MM  MM 1015.9  22.2    MM  17.2   MM   MM    MM
2013 08 25 09 56 190  3.6  9.3    MM    MM    MM  MM 1016.3  21.7    MM  16.7   MM   MM    MM
2013 08 25 08 56 190  4.6  8.8    MM    MM    MM  MM 1017.0  21.1    MM  15.0   MM   MM    MM
2013 08 25 07 56 180  3.6   MM    MM    MM    MM  MM 1018.0  20.6    MM  15.0   MM   MM    MM
2013 08 25 06 56 200  3.6   MM    MM    MM    MM  MM 1018.2  21.1    MM  13.9   MM   MM    MM
2013 08 25 05 56 190  6.7 10.3    MM    MM    MM  MM 1017.9  21.1    MM  12.8   MM   MM    MM
2013 08 25 04 56 190  5.1  8.8    MM    MM    MM  MM 1018.5  20.6    MM  12.2   MM   MM    MM
2013 08 25 03 56 190  4.1  9.3    MM    MM    MM  MM 1019.1  21.1    MM  11.1   MM   MM    MM
2013 08 25 02 56 190  5.7  9.3    MM    MM    MM  MM 1019.3  20.6    MM  11.1   MM   MM    MM
2013 08 25 01 56 190  5.1  8.8    MM    MM    MM  MM 1019.9  21.1    MM  11.7   MM   MM    MM
2013 08 25 00 56 190  3.6   MM    MM    MM    MM  MM 1020.0  21.7    MM  11.7   MM   MM    MM
2013 08 24 23 56 190  3.6  7.7    MM    MM    MM  MM 1020.3  23.3    MM  12.8   MM   MM    MM
2013 08 24 22 56 180  4.1  7.7    MM    MM    MM  MM 1020.6  24.4    MM  13.9   MM   MM    MM
2013 08 24 21 56 170  5.1  8.8    MM    MM    MM  MM 1020.6  25.0    MM  13.3   MM   MM    MM
2013 08 24 20 56 190  4.1  8.2    MM    MM    MM  MM 1021.2  26.1    MM  11.1   MM   MM    MM
2013 08 24 18 56 210  2.6  8.2    MM    MM    MM  MM 1021.8  27.8    MM  13.9   MM   MM    MM
2013 08 24 17 56 210  4.6  8.8    MM    MM    MM  MM 1022.3  27.2    MM  13.3   MM   MM    MM
2013 08 24 16 56 190  4.1  9.3    MM    MM    MM  MM 1022.6  26.1    MM  12.8   MM   MM    MM
