#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 09 01 13 56 340  6.7 12.4    MM    MM    MM  MM 1003.2  19.4    MM  16.1   MM   MM    MM
2013 09 01 12 56  MM  2.6   MM    MM    MM    MM  MM 1003.1  19.4    MM  16.7   MM   MM    MM
2013 09 01 11 56 350  1.5   MM    MM    MM    MM  MM 1003.2  18.3    MM  17.2   MM   MM    MM
2013 09 01 10 56  MM    0   MM    MM    MM    MM  MM 1003.0  18.3    MM  17.2   MM   MM    MM
2013 09 01 09 56  MM    0   MM    MM    MM    MM  MM 1003.0  18.3    MM  17.2   MM   MM    MM
2013 09 01 08 56  MM    0   MM    MM    MM    MM  MM 1003.5  17.8    MM  16.7   MM   MM    MM
2013 09 01 07 56  10  2.1   MM    MM    MM    MM  MM 1002.9  18.3    MM  16.7   MM   MM    MM
2013 09 01 06 56  MM    0   MM    MM    MM    MM  MM 1003.8  18.9    MM  16.7   MM   MM    MM
2013 09 01 05 56 290  1.5   MM    MM    MM    MM  MM 1004.2  18.9    MM  17.8   MM   MM    MM
2013 09 01 04 56 310  1.5   MM    MM    MM    MM  MM 1004.7  17.8    MM  16.7   MM   MM    MM
2013 09 01 03 56  MM    0   MM    MM    MM    MM  MM 1006.0  17.8    MM  16.7   MM   MM    MM
2013 09 01 02 56  MM    0   MM    MM    MM    MM  MM 1005.6  18.3    MM  17.2   MM   MM    MM
2013 09 01 01 56  MM    0   MM    MM    MM    MM  MM 1005.9  19.4    MM  17.8   MM   MM    MM
2013 09 01 00 56 270  2.1   MM    MM    MM    MM  MM 1007.1  18.9    MM  17.2   MM   MM    MM
2013 08 31 22 56  MM    0   MM    MM    MM    MM  MM 1006.5  20.0    MM  16.7   MM   MM    MM
2013 08 31 21 56 220  2.1   MM    MM    MM    MM  MM 1006.7  19.4    MM  16.7   MM   MM    MM
2013 08 31 20 56 230  1.5   MM    MM    MM    MM  MM 1007.3  20.0    MM  17.2   MM   MM    MM
2013 08 31 19 56 240  2.1   MM    MM    MM    MM  MM 1008.3  20.0    MM  17.2   MM   MM    MM
2013 08 31 18 56  MM    0   MM    MM    MM    MM  MM 1008.6  19.4    MM  17.2   MM   MM    MM
2013 08 31 17 56  MM    0   MM    MM    MM    MM  MM 1008.7  19.4    MM  16.7   MM   MM    MM
2013 08 31 16 56  MM    0   MM    MM    MM    MM  MM 1009.1  18.9    MM  16.1   MM   MM    MM
2013 08 31 15 56  MM    0   MM    MM    MM    MM  MM 1009.5  19.4    MM  16.7   MM   MM    MM
2013 08 31 14 56  MM    0   MM    MM    MM    MM  MM 1010.5  18.9    MM  16.1   MM   MM    MM
2013 08 31 13 56  MM    0   MM    MM    MM    MM  MM 1011.0  18.3    MM  16.1   MM   MM    MM
2013 08 31 12 56  MM    0   MM    MM    MM    MM  MM 1011.0  18.3    MM  15.6   MM   MM    MM
2013 08 31 11 56  60  1.5   MM    MM    MM    MM  MM 1011.6  17.8    MM  15.6   MM   MM    MM
2013 08 31 10 56  MM    0   MM    MM    MM    MM  MM 1011.1  17.8    MM  15.0   MM   MM    MM
2013 08 31 09 56  MM    0   MM    MM    MM    MM  MM 1011.6  17.8    MM  15.0   MM   MM    MM
2013 08 31 08 56  60  2.1   MM    MM    MM    MM  MM 1011.6  17.2    MM  15.6   MM   MM    MM
2013 08 31 07 56  60  1.5   MM    MM    MM    MM  MM 1012.8  17.8    MM  15.6   MM   MM    MM
2013 08 31 06 56  60  2.1   MM    MM    MM    MM  MM 1013.0  17.8    MM  15.6   MM   MM    MM
2013 08 31 05 56  60  3.1   MM    MM    MM    MM  MM 1013.4  17.8    MM  15.6   MM   MM    MM
2013 08 31 04 56  60  2.6   MM    MM    MM    MM  MM 1013.7  17.8    MM  15.6   MM   MM    MM
2013 08 31 03 56  70  2.1   MM    MM    MM    MM  MM 1013.3  18.3    MM  16.1   MM   MM    MM
2013 08 31 02 56  80  3.6   MM    MM    MM    MM  MM 1013.3  19.4    MM  16.7   MM   MM    MM
2013 08 31 01 56  MM    0   MM    MM    MM    MM  MM 1013.7  18.9    MM  16.7   MM   MM    MM
2013 08 31 00 56  MM    0   MM    MM    MM    MM  MM 1013.5  18.9    MM  16.1   MM   MM    MM
2013 08 30 23 56  MM    0   MM    MM    MM    MM  MM 1013.7  20.0    MM  16.7   MM   MM    MM
2013 08 30 22 56  MM    0   MM    MM    MM    MM  MM 1014.0  20.6    MM  16.1   MM   MM    MM
2013 08 30 21 56  MM    0   MM    MM    MM    MM  MM 1013.8  21.1    MM  16.7   MM   MM    MM
2013 08 30 20 56  MM    0   MM    MM    MM    MM  MM 1013.9  22.2    MM  17.2   MM   MM    MM
2013 08 30 19 56  MM    0   MM    MM    MM    MM  MM 1013.6  23.3    MM  17.8   MM   MM    MM
2013 08 30 18 56 190  1.5   MM    MM    MM    MM  MM 1013.3  23.9    MM  17.2   MM   MM    MM
2013 08 30 17 56  MM    0   MM    MM    MM    MM  MM 1013.3  24.4    MM  17.2   MM   MM    MM
2013 08 30 16 56  MM    0   MM    MM    MM    MM  MM 1013.3  22.8    MM  16.7   MM   MM    MM
2013 08 30 15 56  MM    0   MM    MM    MM    MM  MM 1012.7  26.1    MM  16.1   MM   MM    MM
2013 08 30 14 56  MM  3.1   MM    MM    MM    MM  MM 1012.3  25.0    MM  16.1   MM   MM    MM
2013 08 30 13 56 360  3.6   MM    MM    MM    MM  MM 1012.2  22.8    MM  17.2   MM   MM    MM
