#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2014 08 29 21 51 200  1.5   MM    MM    MM    MM  MM 1007.8  17.2    MM  15.6   MM   MM    MM
2014 08 29 20 51  MM    0   MM    MM    MM    MM  MM 1008.7  17.2    MM  15.0   MM   MM    MM
2014 08 29 19 51  MM  2.6   MM    MM    MM    MM  MM 1008.8  17.2    MM  15.0   MM   MM    MM
2014 08 29 18 51 210  6.2 10.8    MM    MM    MM  MM 1009.0  16.7    MM  15.0   MM   MM    MM
2014 08 29 17 51 220  5.1 11.3    MM    MM    MM  MM 1010.3  17.2    MM  14.4   MM   MM    MM
2014 08 29 16 51 200  4.6  7.7    MM    MM    MM  MM 1011.3  16.1    MM  14.4   MM   MM    MM
2014 08 29 15 51 190  4.1   MM    MM    MM    MM  MM 1012.3  16.1    MM  13.9   MM   MM    MM
2014 08 29 14 51  MM  2.6   MM    MM    MM    MM  MM 1012.3  16.7    MM  13.3   MM   MM    MM
2014 08 29 13 51  MM   MM   MM    MM    MM    MM  MM 1013.0  16.7    MM  13.3   MM   MM    MM
2014 08 29 12 51 210  4.6  8.8    MM    MM    MM  MM 1013.4  16.7    MM  13.3   MM   MM    MM
2014 08 29 11 51 210  4.1  8.8    MM    MM    MM  MM 1013.8  16.1    MM  13.3   MM   MM    MM
2014 08 29 10 51 220  3.6  7.2    MM    MM    MM  MM 1013.8  16.1    MM  13.3   MM   MM    MM
2014 08 29 09 51 230  3.6   MM    MM    MM    MM  MM 1014.0  16.7    MM  13.9   MM   MM    MM
2014 08 29 08 51 240  3.6   MM    MM    MM    MM  MM 1013.9  16.1    MM  13.9   MM   MM    MM
2014 08 29 07 51 230  3.6   MM    MM    MM    MM  MM 1014.3  16.1    MM  13.9   MM   MM    MM
2014 08 29 06 51 240  3.6   MM    MM    MM    MM  MM 1014.8  15.6    MM  13.3   MM   MM    MM
2014 08 29 05 51 230  4.1   MM    MM    MM    MM  MM 1015.1  15.6    MM  13.3   MM   MM    MM
2014 08 29 04 51 230  4.1   MM    MM    MM    MM  MM 1015.5  15.6    MM  12.8   MM   MM    MM
2014 08 29 03 51 240  4.1   MM    MM    MM    MM  MM 1015.9  15.0    MM  12.2   MM   MM    MM
2014 08 29 02 51 230  3.6   MM    MM    MM    MM  MM 1016.9  15.0    MM   9.4   MM   MM    MM
2014 08 29 01 51 230  4.1   MM    MM    MM    MM  MM 1017.2  15.0    MM   9.4   MM   MM    MM
2014 08 29 00 51 220  3.1   MM    MM    MM    MM  MM 1017.4  15.0    MM  10.6   MM   MM    MM
2014 08 28 23 51  MM  2.6   MM    MM    MM    MM  MM 1017.5  16.1    MM   9.4   MM   MM    MM
2014 08 28 22 51  MM  3.1   MM    MM    MM    MM  MM 1017.9  17.8    MM   8.9   MM   MM    MM
2014 08 28 21 51  MM  2.6   MM    MM    MM    MM  MM 1018.4  19.4    MM   8.3   MM   MM    MM
2014 08 28 20 51  MM  3.1   MM    MM    MM    MM  MM 1018.8  20.0    MM   7.2   MM   MM    MM
2014 08 28 19 51 220  4.6   MM    MM    MM    MM  MM 1018.9  20.0    MM   6.7   MM   MM    MM
2014 08 28 18 51 220  3.6   MM    MM    MM    MM  MM 1019.8  19.4    MM   6.7   MM   MM    MM
2014 08 28 17 51 220  3.6   MM    MM    MM    MM  MM 1020.2  19.4    MM   7.8   MM   MM    MM
2014 08 28 16 51 230  2.6   MM    MM    MM    MM  MM 1020.6  18.9    MM   8.9   MM   MM    MM
2014 08 28 15 51 230  3.6   MM    MM    MM    MM  MM 1020.8  18.9    MM   9.4   MM   MM    MM
2014 08 28 14 51 240  4.1   MM    MM    MM    MM  MM 1020.7  17.2    MM  10.6   MM   MM    MM
2014 08 28 13 51  MM  3.1   MM    MM    MM    MM  MM 1020.7  16.1    MM   9.4   MM   MM    MM
2014 08 28 12 51  MM  2.1   MM    MM    MM    MM  MM 1020.7  14.4    MM   7.8   MM   MM    MM
2014 08 28 11 51 240  2.6   MM    MM    MM    MM  MM 1021.1  12.2    MM   6.7   MM   MM    MM
2014 08 28 10 51 250  2.1   MM    MM    MM    MM  MM 1021.1  11.1    MM   6.1   MM   MM    MM
2014 08 28 09 51  MM    0   MM    MM    MM    MM  MM 1020.9  10.0    MM   6.7   MM   MM    MM
2014 08 28 08 51  MM    0   MM    MM    MM    MM  MM 1021.0  10.6    MM   6.1   MM   MM    MM
2014 08 28 07 51 260  1.5   MM    MM    MM    MM  MM 1021.3  11.7    MM   6.1   MM   MM    MM
2014 08 28 06 51 250  2.1   MM    MM    MM    MM  MM 1021.2  11.1    MM   6.7   MM   MM    MM
2014 08 28 05 51 250  1.5   MM    MM    MM    MM  MM 1021.0  11.1    MM   6.7   MM   MM    MM
2014 08 28 04 51 250  2.1   MM    MM    MM    MM  MM 1020.8  12.2    MM   6.1   MM   MM    MM
2014 08 28 03 51  MM  2.6   MM    MM    MM    MM  MM 1021.0  12.2    MM   6.7   MM   MM    MM
2014 08 28 02 51 240  2.1   MM    MM    MM    MM  MM 1021.1  12.2    MM   7.2   MM   MM    MM
2014 08 28 01 51 250  1.5   MM    MM    MM    MM  MM 1021.3  11.7    MM   7.8   MM   MM    MM
2014 08 28 00 51 210  1.5   MM    MM    MM    MM  MM 1020.7  13.9    MM   7.8   MM   MM    MM
2014 08 27 23 51  MM  2.1   MM    MM    MM    MM  MM 1020.9  16.7    MM   7.2   MM   MM    MM
2014 08 27 22 51 350  4.6   MM    MM    MM    MM  MM 1020.8  16.1    MM   8.3   MM   MM    MM
2014 08 27 21 51 350  5.1   MM    MM    MM    MM  MM 1021.2  15.6    MM  10.6   MM   MM    MM
2014 08 27 20 51 350  6.7   MM    MM    MM    MM  MM 1021.4  16.1    MM  11.1   MM   MM    MM
2014 08 27 19 51 350  6.7   MM    MM    MM    MM  MM 1021.6  15.6    MM  10.0   MM   MM    MM
2014 08 27 18 51 360  6.2   MM    MM    MM    MM  MM 1021.5  15.0    MM   8.3   MM   MM    MM
2014 08 27 17 51 360  4.6   MM    MM    MM    MM  MM 1021.6  15.0    MM   9.4   MM   MM    MM
2014 08 27 16 51 360  4.6   MM    MM    MM    MM  MM 1021.9  14.4    MM   7.8   MM   MM    MM
2014 08 27 15 51 360  4.1   MM    MM    MM    MM  MM 1021.7  14.4    MM   8.3   MM   MM    MM
2014 08 27 14 51 360  3.6   MM    MM    MM    MM  MM 1021.4  14.4    MM   9.4   MM   MM    MM
2014 08 27 13 51 350  4.1   MM    MM    MM    MM  MM 1021.4  13.9    MM  10.0   MM   MM    MM
2014 08 27 12 51 340  3.6   MM    MM    MM    MM  MM 1021.2  13.9    MM   9.4   MM   MM    MM
2014 08 27 11 51  MM  1.5   MM    MM    MM    MM  MM 1021.0  12.8    MM   9.4   MM   MM    MM
2014 08 27 10 51 340  2.1   MM    MM    MM    MM  MM 1020.8  13.3    MM   9.4   MM   MM    MM
2014 08 27 09 51 310  2.1   MM    MM    MM    MM  MM 1020.5  13.3    MM   9.4   MM   MM    MM
2014 08 27 08 51  MM    0   MM    MM    MM    MM  MM 1019.8  14.4    MM   7.8   MM   MM    MM
2014 08 27 07 51  MM  1.5   MM    MM    MM    MM  MM 1020.1  14.4    MM   8.3   MM   MM    MM
2014 08 27 06 51  MM  1.5   MM    MM    MM    MM  MM 1019.9  14.4    MM   8.3   MM   MM    MM
2014 08 27 05 51  MM  2.6   MM    MM    MM    MM  MM 1020.0  14.4    MM   8.3   MM   MM    MM
2014 08 27 04 51 350  2.6   MM    MM    MM    MM  MM 1019.8  13.3    MM   9.4   MM   MM    MM
2014 08 27 03 51 340  5.1   MM    MM    MM    MM  MM 1019.4  15.0    MM  10.0   MM   MM    MM
2014 08 27 02 51 330  5.1  7.7    MM    MM    MM  MM 1019.3  16.1    MM   9.4   MM   MM    MM
2014 08 27 01 51  MM  2.6   MM    MM    MM    MM  MM 1019.0  16.1    MM   8.9   MM   MM    MM
2014 08 27 00 51  MM  2.6   MM    MM    MM    MM  MM 1018.9  16.1    MM   8.3   MM   MM    MM
2014 08 26 23 51 310  4.1   MM    MM    MM    MM  MM 1018.5  15.6    MM   8.3   MM   MM    MM
2014 08 26 22 51 330  5.1  9.8    MM    MM    MM  MM 1018.0  16.7    MM   8.3   MM   MM    MM
