#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2014 08 29 20 50  90  3.0  4.0   0.2    MM   2.6  MM 1007.6  15.0  13.9    MM   MM -2.0    MM
2014 08 29 19 50 100  2.0  3.0   0.2    MM   2.6  MM 1008.8  14.9  14.2    MM   MM   MM    MM
2014 08 29 18 50 100  3.0  3.0   0.3     3   2.7  MM 1009.2  15.0  14.3    MM   MM   MM    MM
2014 08 29 17 50 120  4.0  4.0   0.3     3   2.6  MM 1009.6  14.8  14.3    MM   MM -1.5    MM
2014 08 29 16 50 130  5.0  6.0   0.3     3   2.7  MM 1010.1  14.8  14.2    MM   MM -1.3    MM
2014 08 29 15 50 100  5.0  6.0   0.3     3   2.9  MM 1010.4  15.0  14.2    MM   MM -1.7    MM
2014 08 29 14 50 120  5.0  5.0   0.3     3   2.9  MM 1011.1  15.2  14.1    MM   MM -1.7    MM
2014 08 29 13 50 140  5.0  6.0   0.2    MM   2.8  MM 1011.4  15.2  14.1    MM   MM -1.3    MM
2014 08 29 12 50 140  3.0  4.0   0.2    MM   2.9  MM 1012.1  15.0  14.0    MM   MM -1.0    MM
2014 08 29 11 50 140  2.0  3.0   0.2    MM   3.0  MM 1012.8  15.0  13.8    MM   MM   MM    MM
2014 08 29 10 50 140  3.0  3.0   0.2    MM   3.1  MM 1012.7  15.0  13.1    MM   MM -0.9    MM
2014 08 29 09 50 130  3.0  3.0   0.2    MM   3.2  MM 1013.1  15.0  13.2    MM   MM   MM    MM
2014 08 29 08 50 140  3.0  3.0   0.2    MM   3.0  MM 1013.1  15.0  13.4    MM   MM   MM    MM
2014 08 29 07 50 150  3.0  3.0   0.1    MM   2.9  MM 1013.6  15.0  13.5    MM   MM   MM    MM
2014 08 29 06 50 170  4.0  4.0   0.1    MM   2.8  MM 1014.0  15.5  13.7    MM   MM -0.8    MM
2014 08 29 05 50 180  4.0  4.0   0.2    MM   2.6  MM 1014.5  15.5  13.9    MM   MM -1.1    MM
2014 08 29 04 50 160  6.0  6.0   0.2    MM   2.6  MM 1014.6  15.6  14.1    MM   MM   MM    MM
2014 08 29 03 50 130  5.0  6.0   0.2    MM   2.5  MM 1014.8  15.7  14.4    MM   MM -1.5    MM
2014 08 29 02 50 120  5.0  6.0   0.1    MM   2.3  MM 1015.6  15.9  14.5    MM   MM   MM    MM
2014 08 29 01 50 100  5.0  5.0   0.1    MM   2.8  MM 1016.0  15.9  14.6    MM   MM -0.9    MM
2014 08 29 00 50  90  3.0  4.0   0.1    MM   3.1  MM 1016.3  15.8  14.7    MM   MM -1.2    MM
2014 08 28 23 50  80  4.0  4.0    MM    MM    MM  MM 1016.4  15.6  15.0    MM   MM -1.7    MM
2014 08 28 22 50  70  4.0  4.0   0.1    MM   2.8  MM 1016.9  15.9  15.2    MM   MM -1.8    MM
2014 08 28 21 50  60  3.0  3.0   0.1    MM   2.9  MM 1017.5  15.9  15.3    MM   MM   MM    MM
2014 08 28 20 50  70  2.0  3.0   0.1    MM   2.9  MM 1018.1  15.6  15.3    MM   MM   MM    MM
2014 08 28 19 50  80  1.0  1.0   0.2    MM   3.0  MM 1018.7  15.4  15.3    MM   MM   MM    MM
2014 08 28 18 50  MM  0.0  1.0   0.2    MM   3.0  MM 1019.5  15.0  14.5    MM   MM -1.1    MM
2014 08 28 17 50 150  2.0  2.0   0.2    MM   2.9  MM 1019.9  14.6  14.0    MM   MM   MM    MM
2014 08 28 16 50 130  1.0  1.0   0.1    MM   2.7  MM 1020.3  14.4  13.6    MM   MM   MM    MM
2014 08 28 15 50 170  2.0  2.0   0.1    MM   2.6  MM 1020.6  14.1  13.5    MM   MM   MM    MM
2014 08 28 14 50 160  2.0  2.0   0.2    MM   2.5  MM 1020.6  14.1  13.3    MM   MM -0.0    MM
2014 08 28 13 50 160  3.0  3.0   0.1    MM   2.5  MM 1020.3  14.0  13.3    MM   MM   MM    MM
