#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 09 01 13 50 340  3.0  3.0   0.6     4   3.9 120 1003.2  16.1  15.1    MM   MM -0.3    MM
2013 09 01 12 50 300  2.0  3.0   0.5     4   3.7 111 1003.5  16.4  15.1    MM   MM +0.7    MM
2013 09 01 11 50 130  1.0  2.0   0.5     4   3.7 110 1003.4  16.0  15.1    MM   MM -0.3    MM
2013 09 01 10 50 140  4.0  4.0   0.5     4   3.7 117 1003.5  15.3  14.9    MM   MM -1.0    MM
2013 09 01 09 50 130  5.0  6.0   0.6     4   3.9 114 1002.8  15.4  14.7    MM   MM -1.5    MM
2013 09 01 08 50  40  2.0  3.0   0.5     4   3.6 124 1003.7  14.8  14.5    MM   MM -1.1    MM
2013 09 01 07 50 320  2.0  3.0   0.6     4   3.6 124 1004.5  15.4  14.4    MM   MM -2.5    MM
2013 09 01 06 50 170  3.0  4.0   0.6     4   3.4 124 1004.3  15.3  14.0    MM   MM -1.8    MM
2013 09 01 05 50 130  7.0  9.0   0.5     3   3.1 137 1004.8  14.6  13.7    MM   MM -1.9    MM
2013 09 01 04 50 160  3.0  4.0   0.5     3   2.9 121 1007.0  14.7  13.7    MM   MM -0.8    MM
2013 09 01 03 50 140  6.0  8.0   0.4     3   2.9 125 1006.1  14.6  13.8    MM   MM -1.5    MM
2013 09 01 02 50 130  5.0  6.0   0.4     3   2.9 139 1006.7  14.2  14.1    MM   MM -0.9    MM
2013 09 01 01 50 130  5.0  6.0   0.4     3   3.0 148 1007.8  14.2  14.3    MM   MM +0.6    MM
2013 09 01 00 50 140  5.0  6.0   0.4     3   2.9 139 1007.6  14.5  14.6    MM   MM -0.4    MM
2013 08 31 23 50 150  6.0  7.0   0.4     3   2.8 141 1007.6  14.6  14.8    MM   MM -1.2    MM
2013 08 31 22 50 160  7.0  7.0   0.3     3   2.9 143 1007.2  15.1  15.1    MM   MM -1.9    MM
2013 08 31 21 50 160  6.0  7.0   0.3     4   3.1 100 1008.0  15.2  15.2    MM   MM -1.2    MM
2013 08 31 20 50 150  6.0  6.0   0.3     4   3.2  98 1008.8  15.3  15.2    MM   MM -0.4    MM
2013 08 31 19 50 150  4.0  5.0   0.3     4   3.3 102 1009.1  15.0  15.2    MM   MM -0.5    MM
2013 08 31 18 50 130  2.0  2.0   0.3     4   3.5 103 1009.2  14.8  15.1    MM   MM -1.5    MM
2013 08 31 17 50 170  4.0  5.0   0.4     4   3.4 117 1009.2  14.6  14.3    MM   MM -2.1    MM
2013 08 31 16 50 180  5.0  6.0   0.4     4   3.6 110 1009.6  14.0  13.9    MM   MM -1.9    MM
2013 08 31 15 50 160  4.0  5.0   0.4     5   3.8 115 1010.7  13.9  13.6    MM   MM -1.2    MM
2013 08 31 14 50 180  4.0  4.0   0.4     5   4.1 112 1011.3  14.0  13.5    MM   MM -0.7    MM
2013 08 31 13 50 170  4.0  4.0   0.3     4   4.0  83 1011.5  13.9  13.4    MM   MM +0.0    MM
